komentar_super_clean,label,prediksi_indobert,confidence
iya lagi practically emang seperti ini sieh,0,0,0.9999334812164307
emang gak se mantep alexis17 deh,1,1,0.9999387264251709
alexis17 ngertiin kebutuhan gue tenan,1,1,0.9999376535415649
jangan lupa ping komen,0,0,0.999925971031189
mobil raksasa hummer memang mobil mobil buas banget,0,0,0.9998941421508789
swert bonanja gacir modal jepek,1,1,0.9998821020126343
9 36 gas bang gua tunggu video kontennya,0,0,0.9999338388442993
derry new energy auto membeli saham mab,0,0,0.9998461008071899
paling ditunggutunggu,0,0,0.9998733997344971
gasss bikin konten motor,0,0,0.9999276399612427
lha ini lu komen bang,0,0,0.9999322891235352
pengetahuan minim anda lebih hebat gak dari om mobi,0,0,0.9999270439147949
gua nonton pengen dapet jawaban malah dengerin orang ngelantur,0,0,0.9999076128005981
pisaulipekstikerbatam emang pinter dengan gak milih prabowo,0,0,0.99989914894104
situs bagus rate kemenangan dibanding alexis17 situs panutan gw,1,1,0.9999316930770874
episode tergokil,0,0,0.9999189376831055
mandalika77 aku cba bntr jepe gede lgnsung,1,1,0.9999192953109741
alkahfzikri7288 harus kita dukung itu bikin partai isinya orang orang bener aja,0,0,0.9998937845230103
akhirnya keluar juga episode yang ditunggu2,0,0,0.9999291896820068
apa gebrakannya ruu tni,0,0,0.9999243021011353
bang pandji undang kang dedi mulyadi dong gubernur jawa barat sekarang,0,0,0.999929666519165
12 21 kameramen mula tidak fokus bung,0,0,0.9999334812164307
alexis 17 maen hoki,1,1,0.9999252557754517
syutingnya kaya yg gm irene dulu baru yg ini,0,0,0.999924898147583
sebulan main alexis17 gue udah liburan amerika,1,1,0.9999380111694336
arief muhammad di omongin wkwkwk,0,0,0.9999171495437622
orang bilang alexis17 tuh life changer banget,1,1,0.9999409914016724
aja surprise d ra77 bikin penasaran,1,1,0.9998225569725037
lebar panjang gagah kuadrat lah pokonya,0,0,0.9999285936355591
bikin konten mtor bg,0,0,0.9999221563339233
pulauwin sih sebenernya segitunya nyebar,1,1,0.9989908337593079
berasa maxwin habisp l u t o 8 8 gacor habis,1,1,0.9996248483657837
jepey trs tiap hari cuma diweton88,1,1,0.9997723698616028
alexis belajar nggk web jelak,1,1,0.999919056892395
sukaaa bangettt sgi88,1,1,0.9998433589935303
udah kalok gak faham diem aja,0,0,0.9999083280563354
makin nyata omon omon nya,0,0,0.9999334812164307
menyala betul,0,0,0.9999170303344727
napoleon 250 pakai kenalpot modif,0,0,0.999765932559967
mandalika77 bikin ketagihan 4 19,1,1,0.9998916387557983
p l u t o 8 8 terpopuler masakini,1,1,0.9995903372764587
wuaduh hahahaha,0,0,0.9999289512634277
mantap pol main di agustoto cuan terus setiap hari,1,1,0.9998829364776611
mending spresso dibanding vf siih,0,0,0.9999309778213501
gak takut penipuan kalo main alexis17,1,1,0.9999357461929321
p l u t o 8 8 bikin game slot hiburan,1,1,0.999599277973175
cinta banget sama ahok ini kapan punya presiden kayak ahok ini,0,0,0.9999212026596069
bro tau ga alexis17 udah support e wallet potongan,1,1,0.9999372959136963
prediksi benar benar beruntung bermain pawpaw4d,1,1,0.999795138835907
gue sih udah ga heran kalo alexis17 trending medsos,1,1,0.9999407529830933
layar buatan samsung ya berarti samsung lagi nyimak,0,0,0.9999306201934814
setuju bro gw jg main alexis17 gac0r,1,1,0.9999368190765381
jangan sampai ketinggalan main di agustotodan rasakan sendiri,1,1,0.9998934268951416
d o r 7 7 menemukan peluang karyawan bos perusahaan,1,1,0.9995948672294617
pilar di grill ada 6 berisi font logo hummer rongganya yg tetap 7,0,0,0.999915361404419
masukkkk pa muchlis,0,0,0.9999253749847412
wapres kuah seblak malu2in aja,0,0,0.9999107122421265
s15 lu kmna bg,0,0,0.9999281167984009
seminggu join alexis17 gue udah beliin ortu kulkas pintu,1,1,0.9999395608901978
torsinya 15 000 nm,0,0,0.9998935461044312
tumben g gontok an,0,0,0.9999308586120605
ya allah dosa apa negeri inj,0,0,0.9999154806137085
buzzer jokowi hkumis,0,0,0.9999251365661621
p u l a u 7 7 7 bikin untung tiap hari wd jalan terus,1,1,0.9996546506881714
mantab ngantuk dibuatnya,0,0,0.9999281167984009
anjir mandalika77 situs kesukaan teman gw,1,1,0.9999130964279175
semoga mandalika77 semakin sukses amin,1,1,0.9999147653579712
bukankah mereka berdua sebaya seumuran yah,0,0,0.9999257326126099
solid solid idid,0,0,0.9999122619628906
gak pusing mikirin biaya sekolah anak kalo udah join alexis17,1,1,0.9999363422393799
mana 19juta lapangan kerja yg kau janjikan oh lupa khusus ordalmu ya,0,0,0.9999303817749023
tim yang nonton doang tapi ga punya mobil,0,0,0.9999265670776367
emang gak ada yang se asik alexis 17 sih,1,1,0.9999377727508545
pagi pagi udah dapet notif wd alexis17 mood langsung sebulan,1,1,0.9999356269836426
ya bisa lah,0,0,0.9999271631240845
heleh gak modif,0,0,0.9999188184738159
emang gak se menguntungkan alexis17,1,1,0.9999377727508545
aszlanslatan27 jokes bakal dibeli mti andai masih ada,0,0,0.9999219179153442
lah jika naif kenapa kau pilih partai dan mendukung nya,0,0,0.999924898147583
mandalika77 ngan ukur jadi duit ngalir permainan seru ora aya istirahatna layanan oke banget abdi recom duh euy,1,1,0.9998946189880371
takut salah ngelipet toklek layar e,0,0,0.9999263286590576
murah 50jt mah bapakku kerjanya di kejagung sekali terima suap 1 2t,0,0,0.9998773336410522
auto jepey weton88,1,1,0.9996670484542847
ympun bapak prabowo sayang anda kocak ngga ngerti lagi,0,0,0.9999229907989502
benci sama kesalahan nya yg dulu kagum sama perubahan nya sekarang,0,0,0.9999253749847412
tengkyu brok ini yg gua cari,0,0,0.9999321699142456
temen arisan gue kepo penghasilan alexis17,1,1,0.99993896484375
anis nikke okesih,0,0,0.9999136924743652
ok min weton88,1,1,0.9994999170303345
stop judol,0,0,0.9999244213104248
kalo alexis17 pusing,1,1,0.9999390840530396
baca komen lebih seru yah,0,0,0.9999241828918457
standardissue15 ngga mungkin selupanya,0,0,0.9998955726623535
lah gimana ini asyariiiii,0,0,0.999933123588562
6 07 uhuuuyyy,1,0,0.9999282360076904
timothy ahh vidio,0,0,0.9999277591705322
mandalika77 gampang menangnya,1,1,0.9998880624771118
ntar dia naro ipad buka chatgpt suruh ngobrol sama ai wkwk,0,0,0.9999343156814575
yah cupu berani nya spem komen doank gk donasi,0,0,0.9999237060546875
prabowo si certified yapper,0,0,0.9999195337295532
gak pusing mikirin biaya sekolah kalo udah join alexis17,1,1,0.9999387264251709
jepe kali maen lgsng suka,1,1,0.9998952150344849
sungguh tak ku sangka sungguh tak ku duga new member auto cuan main di mandalika77 scatternya gampang kali keluarnya pola acak gass keun,1,1,0.9999045133590698
openingnya about you,0,0,0.9999247789382935
asepudin7156 jangan terlalu jujur bro,0,0,0.9999315738677979
beli kuota buat nonton,0,0,0.9999246597290039
antonio my9xs terimakasih infonya nanti saya coba daftar,0,0,0.9998944997787476
15 32 kok dieselnya di skip bg,0,0,0.9999276399612427
gw demen gas sgi88 wkwkwkww seru sering2 sih mah,1,1,0.9998903274536133
gokilll mantul kali mandalika77 makasih info gacirny kakak,1,1,0.9999264478683472
kasihan negri ini semoga tuhan selalu melindungi negri ini,0,0,0.9999257326126099
nggak diragukan slot gacor p l u t o 8 8,1,1,0.9996458292007446
eh tau gak sih alexis17 bagi bagi bonus gede nih member,1,1,0.999936580657959
rusliofficiall96 huawei jangan bandingin sama samsung,0,0,0.9999287128448486
10 40 lbwk huracan kah,0,0,0.9999175071716309
gokilll bang,0,0,0.9999293088912964
notif langsung nonton habis jepe sgi88,1,1,0.9998394250869751
hp hp lipet tipis gini jadi pengen iseng matahin,0,0,0.9998726844787598
meuni gacoor pisan iyeu manut88,1,1,0.9998026490211487
ga seru ah ga nyerang pemerintah sm jkowi,0,0,0.9999260902404785
mungkin ini hp android termahal di dunia,0,0,0.9999303817749023
dengan catatan asalkan pemerintah ikut bantu support ya pak,0,0,0.9999297857284546
ishowspeed beli 3 kemarin pas ke china,0,0,0.9999184608459473
di dislike baper cihhhhh apaan,0,0,0.9999339580535889
berantakan,0,0,0.9999208450317383
ngeri amat kameranya,0,0,0.9999306201934814
ya terserah yg punya,0,0,0.9999300241470337
jawaban yang sangat tidak menjawab why pak why,0,0,0.9999322891235352
beli kopi kapal api nya kawan kawan,0,0,0.9999288320541382
orang dalam lebih di utamakan,0,0,0.9997594952583313
keren lu bang,0,0,0.9999303817749023
pulauwin kok kayak ada di mana mana ya meresap banget,1,1,0.9990843534469604
gokil mobil drift ter proper,0,0,0.999915599822998
sheeshhh,0,0,0.9998998641967773
epic moment weton88,1,1,0.9995280504226685
makanya dislikee wkwk,0,0,0.9999338388442993
alexis 17 tuh emang bener bener ngebantu banget pas gua lagi bokek,1,1,0.9999361038208008
cakep kali sgi88 bravo,1,1,0.9998770952224731
jakpot kali main do a77 bikin semangat,1,1,0.9998397827148438
anggorodps 9 wwkwk jadi buzzer sumbangsih,0,0,0.9999327659606934
santai di rumah tapi feel nya dapet banget bareng pulauwin,1,1,0.9990400671958923
solusinya adalah lah kok tanya saya,0,0,0.9999316930770874
gak pusing mikirin biaya berobat kalo udah join alexis17,1,1,0.9999393224716187
modifikasi motor drag,0,0,0.9999171495437622
dipo ga diboostni,0,0,0.9999305009841919
gak pusing mikirin biaya berobat kalo udah join alexis17,1,1,0.9999393224716187
soal nya apa jwb nya apa bapak inti nya yg pas tak ada,0,0,0.9999321699142456
buseett ngakak gw,0,0,0.9895998239517212
pantes 11 100,0,0,0.9999014139175415
zamalhd3595 pdhl pak ahok gak ada berubah2 ahok tetep ahok yg gua kenal,0,0,0.9999244213104248
halahhhhhhhhhhhh,0,0,0.9999195337295532
nanti buat lagi hp lapis legit,0,0,0.9999325275421143
2gd item ga disebut bang,0,0,0.9999288320541382
kukira nakal wkwk,0,0,0.9999337196350098
klo nonton live mungkin kita pikir udahan kali livenya,0,0,0.9998948574066162
salam weton88 gampang jepe sehat,1,1,0.999778687953949
mandalika77 real tuh dah gw coba bnrn gacir,1,1,0.9999231100082397
emang gak se worth it alexis17 sih,1,1,0.99993896484375
jokojmc ditanya pencapaian 150 hari menjabat malah cerita plan ke depan,0,0,0.9999223947525024
baru wede 2 juta prosesnya gampang banget,1,1,0.9999058246612549
bang ajarin cara nge drift dongg,0,0,0.9999337196350098
boleh juga ziko mau ngonten modif motor 9 26,0,0,0.9999247789382935
saya juga ternyata,0,0,0.9999222755432129
kan emang lgi di setting ksna sm pdip,0,0,0.9999234676361084
tolong infoin point solutifnya di detik keberapa,0,0,0.9999332427978516
gue udah ga bayangin hidup alexis17 udah sumber penghasilan,1,1,0.9999376535415649
engga si yang aneh mata lu aja,0,0,0.9999284744262695
kalo gabut alexis17 juaranya,1,1,0.999940037727356
02 30 gak senyum main p u l a u 7 7 7 cuaan,1,1,0.9996551275253296
buka pintu kebahagiaan di mandalika77,1,1,0.9998944997787476
baru seminggu join alexis 17 gue udah bisa beliin ortu tv baru,1,1,0.9999371767044067
suruh i show speed nonton ini,0,0,0.9999210834503174
tablet foldable,0,0,0.9998679161071777
yang ngarang itu jawaban dari anda pak prabowo,0,0,0.9999241828918457
lapor mas wapers,0,0,0.9999321699142456
alexis17 tuh emang bener bener beda sistemnya adil,1,1,0.9999366998672485
gua bisa lipat 2x,0,0,0.9999182224273682
bagian mana,0,0,0.9999200105667114
alexis17 tuh emang bener bener beda sistemnya transparan,1,1,0.9999368190765381
180 sx pake mesin v8,0,0,0.9999163150787354
alexis17 tuh emang ngerti kebutuhan membernya kasih hadiah,1,1,0.9999384880065918
top markotop selalu hadir nonton mas dipo,0,0,0.9999327659606934
anggorodps 9 ayo jelaskan dong blok,0,0,0.9999340772628784
auto jepey a l e x i s 1 7,1,1,0.9996750354766846
biasa youtube bnyak koment yg bagus2 dn like yg bnyak ini kebalikan,0,0,0.9999293088912964
siapa yg memenjarakan ahok dulu,0,0,0.9999251365661621
inilah pribahasa di atas langit masih ada satelit,0,0,0.9999265670776367
dimasseto7248 kamu tau ketawa karir,0,0,0.9998661279678345
ayo dong modif motor mas ziko,0,0,0.9999324083328247
kebanyakan kata lumayan,0,0,0.9999113082885742
suara keramat,0,0,0.9998986721038818
mantap banget rejeki ngalir,1,1,0.9998738765716553
rezeki d o r a 7 7 bikin senyum lebar terima kasih,1,1,0.999666690826416
tanpa dihina pun memang sudah hina,0,0,0.999929666519165
pengen nangis mobilnya hancur,0,0,0.9999064207077026
emang gak se trusted alexis17 sih,1,1,0.9999399185180664
daftar maen sebentar lgsng jepe,1,1,0.9999051094055176
ke bengkel bg mereka bukan montir atau jasa konsultasi,0,0,0.9999277591705322
rezeki a h m a d t o t o sungguh terima kasih tuhan,1,1,0.999430239200592
soft selling yg engga soft soft amat,0,0,0.9998984336853027
jika jersey kiper ngeluarin sv nya auto beli dah,0,0,0.9999175071716309
di iso speeed,0,0,0.9999117851257324
terlalu menyakitkan untuk didengarkan,0,0,0.9999252557754517
itu bu valeria senyam senyum karir,0,0,0.9999172687530518
link beli dimana,0,0,0.9999277591705322
buat yang insomnia coba dengerin,0,0,0.9999203681945801
gacur banget wede auto seneng,1,1,0.9999078512191772
besok semoga,0,0,0.9999277591705322
luar biasa orang baik berkah selalu buat kalian semoga rejekix berlipat ganda dan slalu di berikan kesehatan mandalika77 emang top,1,1,0.9999141693115234
tvs callisto 125 coba modif bang kalo merk jejepangan udah biasa,0,0,0.9998770952224731
alexis17 penyelamat genting pol,1,1,0.9999351501464844
banget dapet sketer,1,1,0.9999091625213623
gak kecewa main a l e x i s 1 7 slt on fire,1,1,0.9996196031570435
awal kebangkitan cuan pasti di sgi88,1,1,0.9998041987419128
ini mah cuma omon omon ndusma,0,0,0.9999351501464844
gila pluto88 fyp,1,1,0.96574467420578
seru banget main dewadora hiburannya seru menangnya gacir,1,1,0.9999105930328369
lc kabupaten starter pack,0,0,0.9999182224273682
weton88 keren banget,1,1,0.9994552731513977
update subaru farel anaknya fitra eri,0,0,0.999927282333374
alamak cbr 250 gw kalah harganya sama hp ini,0,0,0.9999276399612427
beruntungnya jadi dirimu mas mas,0,0,0.9999247789382935
temen gue bilang alexis17 tuh bikin nagih,1,1,0.9999396800994873
gak ngabisin langsung gacir dora77 bener bener rezeki,1,1,0.9998664855957031
d e w a d o r a gacir abis sekali main langsung pengen lagi,1,1,0.9994596838951111
sandymartono7029 pendukung asli muncul,0,0,0.9999288320541382
gue sih udah ga heran kalo alexis17 trending sosmed,1,1,0.999940037727356
menghindar pertanyaannya kyk ngehindar debt collector aja,0,0,0.999922513961792
anjer 5 langkah kalah wkwkwk,0,0,0.9999209642410278
beneran deh gak nyangka bisa menang terus di alexis17,1,1,0.9999336004257202
anjayy ga nyangka gua maxwin dariga ruda ho ki,1,1,0.99947589635849
yang ditunggu tunggu,0,0,0.9999208450317383
sayang langsung nabrak,0,0,0.9999024868011475
alexis 17 cba maen jekpot gede,1,1,0.9999319314956665
one of the best episode,0,0,0.9999085664749146
alexis17 tuh emang bener bener beda sistemnya transparan,1,1,0.9999368190765381
alexis17 bikin gue beli rumah cash 3 modal 200rb,1,1,0.9999340772628784
cocok buat penghantar tidur karena isi nya bualan belaka,0,0,0.9999315738677979
akhirnya bertemu juga,0,0,0.9999147653579712
orang bilang alexis17 tuh bener bener ngebantu keuangan,1,1,0.9999403953552246
keren sih sgi88 main bentar auto jepe,1,1,0.9999054670333862
sumpah serius nanya alexis17 beneran sebagus,1,1,0.9999390840530396
gila asli mentok kanan banget ini mobil beuh,0,0,0.9999204874038696
48 32 paling seneng kalau om mobi udah ngomong hyendeeeeiii,0,0,0.9999288320541382
gak nyangka iseng doang eh malah ketagihan sama pulauwin,1,1,0.9990044236183167
rasanya seperti mendengar orang berkampanye,0,0,0.9999243021011353
emang presiden lu ga kompeten aja,0,0,0.9999170303344727
gak ditest gaming rasanya kaya ada yg ganjel,0,0,0.9998514652252197
sukaaa bangettt sgi88,1,1,0.9998433589935303
temen kantor gue kepo penghasilan alexis17,1,1,0.9999395608901978
swert bonanja gacir banget mantul,1,1,0.999854564666748
mobilnya gus iqdam mantab,0,0,0.9999172687530518
ngga jelas bgt isinya,0,0,0.9999275207519531
rahadiarum7448 wkwk global apa wkwkwk ngaco,0,0,0.9999313354492188
gila namanya alexis17 unik banget,1,1,0.9999405145645142
hp yang di borong ishowspeed 3 biji di cina wkwk,0,0,0.9999302625656128
solusi penghilang stress cuman alexis17,1,1,0.9999368190765381
s2000 time attack sama m4 ijo favorite gw sih,0,0,0.9998537302017212
bukan selera anak muda,0,0,0.999923586845398
muhardhy realistis kalo pdip mau kalah lagi dan ditipu abah,0,0,0.9999260902404785
mantap konten motor gass mass,0,0,0.9999204874038696
bilang alexis17 top markotop abis,1,1,0.9999411106109619
sketer sering keluar jepek terus jadinya,1,1,0.999883770942688
kalo nggak coba nggak bakal tahu rezeki bisa datang kapan aja di d ra77,1,1,0.9998055100440979
18 menit doank pandji kalah catur ama ahok,0,0,0.9999241828918457
alexis17 emang ga duanya pelayanan vip member seumur hidup,1,1,0.9999380111694336
gokil abis alexis 17 modal dikit hasil gede,1,1,0.9999326467514038
berkah rezeki berkat sgi88 puji syukur,1,1,0.9998793601989746
a e o 8 8 cuan gmpng mulu,1,1,0.9996011853218079
sempet ga percaya eh bener gua maxwin diga ru da ho ki,1,1,0.9996803998947144
tebak anggaran ini berapa m,0,0,0.9999210834503174
modal tipis gucu r kena jepe,1,1,0.9998834133148193
weton88 maen santai aja tetep wedey jutaan,1,1,0.9997398257255554
bismillah nabung buat belinya,0,0,0.9999220371246338
gua sales emg gokil siga ru da ho ki gacorr der,1,1,0.9996367692947388
elegan warna cerah beeeuh kelasss,0,0,0.9999198913574219
happy banget main do a 77 menangnya,1,1,0.9998155236244202
ownernya nongol nih,0,0,0.9999233484268188
banget dapet sketer,1,1,0.9999091625213623
keren banget bang salam jepe weton88,1,1,0.9997289776802063
gk gk alexis17 bahas,1,1,0.9999384880065918
sebagai kaum mendang mending mending pilih byd atau jaecoo mas,0,0,0.9999312162399292
jumlah dislike nya ilang,0,0,0.9999276399612427
preeeet emang percaya,1,0,0.9996533393859863
terpercaya banget menang berkat prediksi pawpaw4d,1,1,0.9998505115509033
yudaisme padahal diban karna takut kesaing,0,0,0.9999277591705322
p u l a u w i n tuh kayak udah lifestyle ya,1,1,0.9994055032730103
hadeew keluar lagi hp,0,0,0.999933123588562
kereennn bageetttt bang,0,0,0.9999207258224487
fiktif presiden kok ngasal bicara tanpa data,0,0,0.9999246597290039
07 00 koq mirip cerita nya siapa yah wkwkwk,0,0,0.9999322891235352
yang di tunggu,0,0,0.9999276399612427
alexis17 tuh emang bener bener beda sistemnya adil,1,1,0.9999366998672485
makasih mandalika77 seumur umur baru kali ini lihat perkalian merah wd 3 juta modal 60k,1,1,0.9998728036880493
gak gagal sgi88,1,1,0.9997748732566833
yeaayyyy akhirnya,0,0,0.9999250173568726
65inch aja udah gede bener jir,1,0,0.9992082715034485
king328 bikin hidup happy,1,1,0.9997631907463074
interaksi tak terduga lucunya panji sama ahok,0,0,0.9999300241470337
kalo mau tablet yang 1 500 000 yang bagus merk apa ya,0,0,0.999923825263977
dimasseto7248 gila pakar ekspresi datang mangut mangut semua setuju wkwkwkkw,0,0,0.9999269247055054
kesini gara2 liat reels ig karena banyak yg dislike,0,0,0.9999276399612427
why am i laughing it s not even supposed to be funny,0,0,0.9999216794967651
wede lancar banget pelayanan top sih,1,1,0.999908447265625
tapi orang berkuasa yg mau main pasti tidak tinggal diam bung,0,0,0.999922513961792
gak ngeh pak ahok 7x wkwkwkw,0,0,0.9999269247055054
edan alexis17 bikin hidup gue simpel asli tenan,1,1,0.9999374151229858
emang gak se terpercaya alexis17 sih,1,1,0.9999380111694336
kdm ahok 2029,0,0,0.9999265670776367
he doesnt care at all,0,0,0.9999206066131592
lbwk nih kayaknya,0,0,0.9999287128448486
mexico presiden dibeli oleh kartel di indo,0,0,0.9999097585678101
iyakan benar kan,0,0,0.9999247789382935
ganas slt a l e x i s 1 7 modal narik sejuta om,1,1,0.9996893405914307
cuma di sini gak nyangka bisa menang terus di alexis17,1,1,0.999934196472168
keren mas beda 50 jutaan,0,0,0.9999306201934814
orang bilang alexis17 tuh life changer banget,1,1,0.9999409914016724
akhirnya yg di tunggu2 sgi88,1,1,0.9998217225074768
telat 2 jam v,0,0,0.9999219179153442
3 jam full yapping jirrr,0,0,0.9999301433563232
gue rela begadang malem alexis17,1,1,0.9999395608901978
gua member ga ruda ho ki jepee sumpah,1,1,0.999833345413208
buka lembaran bahagia di mandalika77,1,1,0.9998936653137207
diplomatis apa emang ngga ngerti pak wkwk,0,0,0.9999339580535889
game nya gacor banget lgsng jepek,1,1,0.9999080896377563
bisa pula saya rasanya maxwinn itu gimana memanglah asian bngt hari ini kakak sekaligus harus coba bermain di sini weton88,1,1,0.9997066855430603
baru coba lgsng makswin,1,1,0.9994733929634094
bang video sgi88 terpercaya 5k 1jt,1,1,0.9998432397842407
bang kalau mau main di mandalika77 jangan pakai emosi main nya bang main pelan pelan aja bang,1,1,0.9999074935913086
seminggu main alexis17 gue udah ganti elektronik rumah,1,1,0.99993896484375
gua sih udah anggep alexis 17 kaya second home aja,1,1,0.9999364614486694
gua sih udah ga bisa tidur kalo belum main alexis 17 sehari,1,1,0.9999333620071411
user hm5ul7db2x buzzer kali yang gak bisa nangkep argumen orang lain,0,0,0.99992835521698
hidup jadi tenang setelah sho auto jepee pahala,1,1,0.9998608827590942
ku kira david ya ngatain,0,0,0.999916672706604
merknya mirip nama adiknya giant film doraemon,0,0,0.999916672706604
jual ginjal ke kamboja,0,0,0.9999017715454102
ahok bukan gubernur terpilih dki seperti yang beliau katakan 14 16,0,0,0.9999246597290039
storytelling pak ahok bikin mas panji nyaman dengerinnya,0,0,0.9999288320541382
keren bngettttt,0,0,0.9998728036880493
dewadorabikin lupa beban hidup hiburan bermakna,1,1,0.9998528957366943
salfok sama oren lewat belakang,0,0,0.9999315738677979
kn tiap orng beda blog,0,0,0.9999217987060547
cakep kali weton88 bravo,1,1,0.9995869994163513
tadi pagi kena duit o w o 7 7 20k keturahan,1,1,0.9996861219406128
omon2 yang tidak mengangkat elektabilitas,0,0,0.9999284744262695
bisa opo iki orang kaya gini,0,0,0.9999229907989502
otw pildun nihhh,0,0,0.9999343156814575
maen lgsng makswin gg banget,1,1,0.9997437596321106
rezeki d wadora sungguh terima kasih tuhan,1,1,0.999763548374176
satriapurnamaaji8104 hasilnya apa cuma berita doang,0,0,0.9999014139175415
trending 1 gila loooo mandalika77,1,1,0.9999196529388428
gue sih udah ga heran kalo alexis17 trending instagram,1,1,0.9999399185180664
semoga rezeki dari agustoto ini berkah dan bermanfaat,1,1,0.9998992681503296
mobilnya anaknya sahroni yah bang,0,0,0.999930739402771
d e w a d o r amenawarkan pendekatan unik inovatif interaksi daring,1,1,0.999022364616394
gw langsung gas otw beli es teh manis cup harga 3k,0,0,0.9998726844787598
lipat itu cepat rusak,0,0,0.9999152421951294
bro alexis17 turnamen gede nih hadiahnya apartemen mewah,1,1,0.9999381303787231
ternyata ramai yg main di mandalika77 wkwkwk mmg lebih gampang jp sih,1,1,0.999915599822998
menuju indonesa emas,0,0,0.9998082518577576
mantap rame banget nih alexis17 tongkrongan,1,1,0.9999405145645142
juraganbeat sabar om banyak bener yang ga ngerti,0,0,0.9998955726623535
gue rela bolos kuliah demi ikutan event di alexis 17,1,1,0.9999290704727173
worst president ever,0,0,0.9999157190322876
mencari komunitas penggemar dor 77 mungkin tempatnya,1,1,0.9998626708984375
alexis17 tuh emang bener bener beda sih rtpnya super,1,1,0.9999394416809082
ribut cx80 d sini ksa udah cx90,0,0,0.9999221563339233
alexis17 oh viral,1,1,0.999933123588562
sebulan join alexis17 hidup gue berubah total,1,1,0.9999402761459351
kalo alexis17 yg kasih duit,1,1,0.9999394416809082
kayak tugas kuliah aku,0,0,0.9999288320541382
koyo ngene iki presiden pilihanmu,0,0,0.9999210834503174
gue sih yes alexis17,1,1,0.9999405145645142
jokojmc dan gw heran kaum 58 tetap muja muja presiden ky gini,0,0,0.9999198913574219
orang bilang alexis17 tuh bener bener ngebantu ekonomi,1,1,0.9999407529830933
love your comment,0,0,0.9999209642410278
sulistyowati el8kl ngegas dari mana mau dong rujukannya share link nya kakak,0,0,0.999930739402771
petir merah muncul terus auto makswin,1,1,0.9994776844978333
ruangkarsa di sektor mana belum bisa nanding android pasti jumlah apps,0,0,0.9999322891235352
1 00 57 itu no 2 maksudnya siapa yah,0,0,0.9999308586120605
ngomongnya muter2 terus tak berbobot,0,0,0.9999207258224487
tim nunggu versi kw dari cina juga,0,0,0.9999260902404785
mandalika77 bikin senyum gak berhenti mantap pol,1,1,0.9998955726623535
bang 50jt bisa bikin tugu biawak di wonosobo,0,0,0.9999204874038696
setuju,0,0,0.9999252557754517
kece poll,0,0,0.9999117851257324
hidup jgn pesimis bro harus semangat tetap optimis,0,0,0.9999268054962158
marahin bang wkwkwk,0,0,0.9999333620071411
